Bits;Cache;speed(kbps);speed_cache(kbps);boost;bi-mean;bi-gmean;bi-median;TBI-mean;TBI-gmean;Tbi-median
2;2;1627.604167;2441.40625;50.00%;0.5;0;0.5;0.5;0;0.5
3;2;1831.054688;2253.605769;23.08%;0.562907292;5.07383E-05;0.639431945;0.573007587;0.000105088;0.661818918
4;3;1594.387755;2520.16129;58.06%;0.59401183;0.003585074;0.677461533;0.626447306;0.008023452;0.733071104
5;3;1896.237864;2569.901316;35.53%;0.609907485;0.029418804;0.68872672;0.667179829;0.071767069;0.764366967
6;3;1969.537815;2604.166667;32.22%;0.618130804;0.083754145;0.693122994;0.699246931;0.220767725;0.779885869
7;3;2036.778399;2616.626794;28.47%;0.622394161;0.140834255;0.694636129;0.725162526;0.395878156;0.786165053
8;6;2127.659574;3094.059406;45.42%;0.624599264;0.182394266;0.695243578;0.746562519;0.539798723;0.788005868
9;6;2178.543765;3392.641737;55.73%;0.625735228;0.20735537;0.695304494;0.764552837;0.639090266;0.798129705
10;6;2199.929602;3478.01892;58.10%;0.626317935;0.22100124;0.695381193;0.779905908;0.703386562;0.812984405
11;6;2240.325866;3480.572079;55.36%;0.626615676;0.228111568;0.695402095;0.793176656;0.744979345;0.823988181
12;9;2251.998649;4000.80016;77.66%;0.626767302;0.231731948;0.695387759;0.804773663;0.77289522;0.834770301
13;9;2228.469556;3995.328539;79.29%;0.626844302;0.233552139;0.695383083;0.815004318;0.792684679;0.842574351
14;9;2178.649237;3797.125034;74.29%;0.626883316;0.234462444;0.69538189;0.824104307;0.807577511;0.849968277
15;9;2213.327923;3766.856684;70.19%;0.626903046;0.234916286;0.695379862;0.832257413;0.81940252;0.857153618
16;12;2220.945949;4241.598818;90.98%;0.626913009;0.235142297;0.695379046;0.839609104;0.829204839;0.863852365
17;12;2234.034864;4364.62599;95.37%;0.626918034;0.235254589;0.695378509;0.846276072;0.837583545;0.869640804
18;12;2199.753673;4202.913144;91.06%;0.626920565;0.235310392;0.695378199;0.852353058;0.844917994;0.874947494
19;12;2182.543956;4027.70638;84.54%;0.62692184;0.235338118;0.695378017;0.857917815;0.851448186;0.87946524
20;15;2186.695258;4231.905792;93.53%;0.626922481;0.235351898;0.695377918;0.863034785;0.857333488;0.883622889
21;15;2211.834955;4254.38399;92.35%;0.626922803;0.235358744;0.695377862;0.867757852;0.862684822;0.887563762
22;15;2227.837174;4180.588818;87.65%;0.626922965;0.235362146;0.695377833;0.872132438;0.867583907;0.891156757
23;15;2227.889125;4053.860927;81.96%;0.626923046;0.235363837;0.695377815;0.876197121;0.872093285;0.894506489
24;18;2228.301371;4321.32623;93.93%;0.626923087;0.235364677;0.695377807;0.879984884;0.876262586;0.897630749
25;18;2243.251756;4429.640122;97.47%;0.626923107;0.235365095;0.695377802;0.883524108;0.880132212;0.900538613
26;18;2237.253321;4350.335557;94.45%;0.626923117;0.235365302;0.695377799;0.886839353;0.883735814;0.903264008
27;18;2237.01177;4240.055621;89.54%;0.626923123;0.235365405;0.695377798;0.889951991;0.88710177;0.90582485
28;21;2237.063673;4478.037213;100.17%;0.626923125;0.235365457;0.695377797;0.892880706;0.890254294;0.908237012
29;21;2239.21919;4522.746016;101.98%;0.626923127;0.235365482;0.695377797;0.895641914;0.893214237;0.910515506
30;21;2240.439033;4468.620167;99.45%;0.626923127;0.235365495;0.695377797;0.898250097;0.895999694;0.912669298
31;21;2238.454724;4364.384611;94.97%;0.626923127;0.235365501;0.695377797;0.900718085;0.898626472;0.914705552
32;24;4389.897782;9411.448043;114.39%;0.626923128;0.235365504;0.695377797;0.903057286;0.901108452;0.916636953
